# Official example sentences from the New Ithkuil grammar (v1.3.1, 2023)
# by John Quijada, https://ithkuil.net/ — reproduced under the reuse terms
# of that site. Transcribed and glossed by the IthkuilTranslator project.
#
# Pipe-delimited, one example per line:
#   Section | Ithkuil | Gloss | English
#
# The Gloss column is the upstream hand-curated notation, which differs
# from what gloss.Formative emits; it is reference material, not an
# expected value.
#
# The Section column numbers ithkuil.net's chapters, not the sections of
# the Grammar Design PDF that docs/reference/morphology.md transcribes.
# The two disagree: what the PDF calls §5.6 (WH-interrogatives) is filed
# here under 10.6, and 5.6 here holds aspect examples. Of the 554
# distinct words below, 91 occur in the PDF, so most of this came from
# elsewhere on the site and cannot be checked against the document we
# hold. Cite an example as attested usage, not as a passage of the
# grammar, unless you have found it in the PDF yourself.
Section | Ithkuil | Gloss | English
5.2.4 | Hlešvie-galoktähmû pra'i | CONCATENATED-[default CA]-stem2/prc-'self-involved.leisure.activity'-PUR-PARENT-'ambulation'-[default CA]-TPP1-7-PRL-SPC-ITU MA/BEN+1M/BEN-ACT | She and I may take a walk later on. [i.e., it is unknown whether we will have the opportunity to do so, and even if we do, it is uncertain whether we will choose to]
5.2.4 | Webglahmû afbalfa umflilacai pei | [default CA]-stem2/prc-'be.inside-out'-SPC-ITU PRC-'article.of.clothing'-ASO MDC-THM stem3/prc-'spouse'-OBJ-[default CA]-GID1-1-POS MA-BEN-GEN | If he has a wife her clothes may be inside-out.
5.2.5 | Yuçkahnú elari | PRX-stem3/prc-'suffer.from.illness'-COU-INF stem2/prc-'child'-G-AFF | His kids would be (would have been) ill. [i.e., if he had kids they would be ill, but he doesn't]
5.2.5 | Hlešvie-galoktähnû pra'i | CONCATENATED-[default CA]-stem2/prc-'self-involved.leisure.activity'-PUR-PARENT-'ambulation'-[default CA]-TPP1-7-PRL-COU-ITU MA/BEN+1M/BEN-ACT | She and I would take (would have taken) a walk later on. [i.e., it is our intention but we won't have the opportunity]
5.2.5 | Webglahnú afbalfa umflilacai pei | [default CA]-stem2/prc-'be.inside-out'-COU-INF PRC-'article.of.clothing'-ASO MDC-THM stem3/prc-'spouse'-OBJ-[default CA]-GID1-1-POS MA-BEN-GEN | If he were to have a wife her clothes would be inside-out.
5.2.6 | Yuçkahňú elari | PRX-stem3/prc-'suffer.from.illness'-HYP-INF stem2/prc-'child'-G-AFF | His kids might've been ill. [i.e., if he had kids, but he doesn't, so we'll never know]
5.2.6 | Hlešvie-galoktähňû pra'i | CONCATENATED-[default CA]-stem2/prc-'self-involved.leisure.activity'-PUR-PARENT-'ambulation'-[default CA]-TPP1-7-PRL-HYP-ITU MA/BEN+1M/BEN-ACT | She and I might've taken a walk later on. [i.e., but we won't have the opportunity, so the decision whether to do so is moot].
5.2.6 | Webglahňú afbalfa umflilacai pei | [default CA]-stem2/prc-'be.inside-out'-HYP-INF PRC-'article.of.clothing'-ASO MDC-THM stem3/prc-'spouse'-OBJ-[default CA]-GID1-1-POS MA-BEN-GEN | If he were to have a wife her clothes might be inside-out. [i.e., but he doesn't have a wife, so whether her clothes would or wouldn't be wet is moot]
5.3.1 | Weždaihá sstilomke | [default CA]-stem2/prc-'sound.of.high-pitched.buzz/beep'-PCT-OBS 'device'-OBJ-[default CA]-FGN1-7-ABS | The alien device (has) emitted a single short beeping sound.
5.3.2 | Weždauhá sstilomke | [default CA]-stem2/prc-'sound.of.high-pitched.buzz/beep'-ITR-OBS 'device'-OBJ-[default CA]-FGN1-7-ABS | The alien device (has) emitted a series of short beeping sounds.
5.3.3 | Weždeihá sstilomke | [default CA]-stem2/prc-'sound.of.high-pitched.buzz/beep'-REP-OBS 'device'-OBJ-[default CA]-FGN1-7-ABS | The alien device (has) emitted a series of long beeping sounds.
5.3.4 | Weždeuhá sstilomke | [default CA]-stem2/prc-'sound.of.high-pitched.buzz/beep'-ITM-OBS 'device'-OBJ-[default CA]-FGN1-7-ABS | The alien device (has) emitted a repeating short beeping sound.
5.3.5 | Weždëuhá sstilomke | [default CA]-stem2/prc-'sound.of.high-pitched.buzz/beep'-RCT-OBS 'device'-OBJ-[default CA]-FGN1-7-ABS | The alien device (has) emitted a repeating long beeping sound.
5.3.6 | Weždouhá sstilomke | [default CA]-stem2/prc-'sound.of.high-pitched.buzz/beep'-FRE-OBS 'device'-OBJ-[default CA]-FGN1-7-ABS | The alien device (has) emitted a repeating series of single beeping sounds.
5.3.7 | Weždoihá sstilomke | [default CA]-stem2/prc-'sound.of.high-pitched.buzz/beep'-FRG-OBS 'device'-OBJ-[default CA]-FGN1-7-ABS | The alien device (has) emitted several random series of repeating short beeping sounds.
5.3.8 | Weždiuhá sstilomke | [default CA]-stem2/prc-'sound.of.high-pitched.buzz/beep'-VAC-OBS 'device'-OBJ-[default CA]-FGN1-7-ABS | The alien device (has) emitted several random series of repeating long beeping sounds.
5.3.9 | Wežduihá sstilomke | [default CA]-stem2/prc-'sound.of.high-pitched.buzz/beep'-FLC-OBS 'device'-OBJ-[default CA]-FGN1-7-ABS | The alien device (has) emitted a string of random short and long beeping sounds.
5.4.1 | Kšilu jraliahá wonţla | 'clown'-OBJ-[default CA]-IND 'drive.vehicle'-[default CA]-1-BEN-OBS [default CA] stem0/prc-'automobile'-THM | It's the clown who's driving the car.
5.4.2 | Yamţriehí chwadi'a | PRX-PRC-'rain'-[default CA]-2-BEN-RPR 'outdoors'-PRX-LOC | I'm told it's raining outside.
5.4.3 | Oërmöliohá wuřkoswu zvalau | CS-ROOT-ITN1-6-3-BEN-OBS 'own'-ACCESSOR-ERG 'dog'-[default CA]-PRP | The dog's owner has returned.
5.4.4 | Wimbruswiöháu! | [default CA] stem2/cpt-'compete.to.win'-ACCESSOR-IND-SLF-BEN-DEC | Here's the winner!/We have a winner!
5.4.5 | Anzwiňeëhá wurmuxri'a | PRC-'spherical.shape'-OBJ-VAR-UNK-OBS [default CA]-stem3/prc-'house'-S241-9-LOC | There's a spheroidal object in the yard.
5.4.6 | Wimbraiduswöëháu! | [default CA] stem2/cpt-'compete.to.win'-SCS2-1-ACCESSOR-IND-SLF-DET-DEC | What a total loser!
5.4.7 | Yaçkörmuohá zvali | PRX-PRC-'illness'-ITN1-6-3-DET-OBS 'dog'-[default CA]-AFF | The dog's illness has returned.
5.4.8 | Yamţruehí chwadi'a | PRX-PRC-'rain'-[default CA]-2-DET-RPR 'outdoors'-PRX-LOC | I'm told it's raining outside.
5.4.9 | Kšilu jraluahá wonţla | 'clown'-OBJ-[default CA]-IND 'drive.vehicle'-[default CA]-1-DET-OBS [default CA] stem0/prc-'automobile'-THM | It's the clown who's driving the car. [i.e., which is bad for me because I don't want to be in a car with a clown driving]
5.5.4 | Hlellwoehú-alxwädé hla Siryus afthili'a elneda'o | [default CA]-CONCATENATED stem2/prc-'be.bright'-SPL-RLT-PARENT 'state.of.star.shining'-CTE-PRX-PUP CARRIER 'Sirius' 'sky'-OBJ-[default CA]-LOC stem2/prc-'nighttime'-CSV-PRX-CNR | Sirius is the brightest star in the night sky.
5.5.4 | Hlellwořžú-alxwädé hla Siryus afthili'a elneda'o | [default CA]-CONCATENATED stem2/prc-'be.bright'-LVL1-7-RLT-PARENT 'state.of.star.shining'-CTE-PRX-PUP CARRIER 'Sirius' 'sky'-OBJ-[default CA]-LOC stem2/prc-'nighttime'-CSV-PRX-CNR | Sirius is the brightest star in the night sky.
5.5.4 | Hlellwoiřžú-alxwädé hla Deneb afthili'a elneda'o | [default CA]-CONCATENATED stem2/prc-'be.bright'-LVL2-7-RLT-PARENT 'state.of.star.shining'-CTE-PRX-PUP CARRIER 'Deneb' 'sky'-OBJ-[default CA]-LOC stem2/prc-'nighttime'-CSV-PRX-CNR | Deneb is the brightest star in the night sky.
5.5.4 | Wurçpethoëhá elaru wailue | [default CA]-stem3/prc-'dance'-QUA1-3-EQU-OBS stem2/prc-'child'-G-IND G-stem1/prc-'adult.person'-CMP | The children dance as poorly as the adults
5.5.4 | Wäšwelciçxöehâ walhaci walhecue | [default CA]-CPT-'be.alive'-COS1-3-XCL1-4-SUR-REC [default CA]-'parent's.sibling'-GID1-1-AFF-[default CA]-'parent's.sibling'-GID1-3-CMP | My aunt lived longer than my uncle although neither of them lived to old age
5.6.1 | Arţtulawá ulhiliolu wiosaḑca Iţkuil | PRC-'study'-DYN-RTR-OBS-stem3/prc-'cousin'-OBJ [default CA]-GEN-1M-IND-stem2/n-CARRIER-CLG1-1-THM-'Ithkuil' | My cousin studied the Ithkuil language
5.6.1 | Yellyawá urwale'ö | PRX-stem2/prc-'sing.a.song'-RTR-OBS stem3/prc-'hour'-[default CA]-PRO | There's been singing going on for an hour
5.6.2 | Arţtuläwá ulhiliolu wiosaḑca Iţkuil | PRC-'study'-DYN-PRS-OBS-stem3/prc-'cousin'-OBJ [default CA]-GEN-1M-IND-stem2/n-CARRIER-CLG1-1-THM-'Ithkuil' | My cousin will study the Ithkuil language
5.6.2 | Yellyäwá urwale'ö | PRX-stem2/prc-'sing.a.song'-PRS-OBS stem3/prc-'hour'-[default CA]-PRO | The singing (you can hear now) will be going on for an hour
5.6.3 | Arţtudewá ulhiliolu wiosaḑca Iţkuil | PRC-'study'-DYN-PRX-HAB-OBS-stem3/prc-'cousin'-OBJ [default CA]-GEN-1M-IND-stem2/n-CARRIER-CLG1-1-THM-'Ithkuil' | My cousin is always studying the Ithkuil language
5.6.3 | A yellyewá urwale'ö | RTR-PRX-stem2/prc-'sing.a.song'-HAB-OBS stem3/prc-'hour'-[default CA]-PRO | The singing used to go on for an hour
5.6.4 | Arţtudiwá ulhiliolu wiosaḑca Iţkuil | 'study'-DYN-PRX-PRG-OBS-stem3/prc-'cousin'-OBJ-GEN-1M-IND-stem2/n-CARRIER-CLG1-1-THM 'Ithkuil' | My cousin is studying the Ithkuil language (right now)
5.6.4 | Yellyiwá | PRX-stem2/prc-'sing.a.song'-PRG-OBS | There's singing going on (right now)
5.6.5 | Mulëiwá ulhiliolu wiosaḑcä Iţkuil | 'communicate.linguistic.message'-DYN-[default CA]-IMM-OBS-stem3/prc-'cousin'-OBJ [default CA]-GEN-1M-IND-stem2/n-CARRIER-CLG1-1-INS-'Ithkuil' | My cousin is about to say something in the Ithkuil language
5.6.5 | Wellyëiwá | [default CA]-stem2/prc-'sing.a.song'-IMM-OBS | There's singing about to begin / Someone is about to sing
5.6.6 | Ẓalöwá li kšilëi arţtudëužči'a | 'see.something'-[default CA]-PCS-OBS 1M-NEU-AFF 'clown'-OBJ-[default CA]-STM PRC-'study'-DYN-PRX-BMP2-5-LOC | I just saw a clown at the school
5.6.7 | Erčudowá kšivo wiolastře | stem2/prc-'corruption'-DYN-PRX-REG-OBS 'clown'-OBJ-N-ERG stem2/n-'child'-DX21-1-ABS | Clowns have been busy corrupting children everywhere
5.6.8 | Älksolëubzuöřcüwá kširu | CPT-'eat/drink.foodstuff'-DYN-CSV-[default CA]-FEA2-5-AMD3-6-SMM-OBS 'clown'-OBJ-G-IND | The clowns have already finished eating breakfast
5.6.9 | Alksolëubzuöřcuyá kširu | PRC-'eat/drink.foodstuff'-DYN-CSV-[default CA]-FEA2-5-AMD3-6-ATP-OBS 'clown'-OBJ-G-IND | The clowns have yet to eat breakfast / The clowns haven't yet eaten breakfast
5.6.10 | Alksolëubzuöřcaiwá kširu | PRC-'eat/drink.foodstuff'-DYN-CSV-[default CA]-FEA2-5-AMD3-6-RSM-OBS 'clown'-OBJ-G-IND | The clowns resumed eating breakfast / The clowns went back to eating breakfast
5.6.11 | Alksolëubzuöřcauwá kširu | PRC-'eat/drink.foodstuff'-DYN-CSV-[default CA]-FEA2-5-AMD3-6-CSS-OBS 'clown'-OBJ-G-IND | The clowns stopped/ceased eating breakfast
5.6.12 | Alksolëubzuöřceiwá kširu | PRC-'eat/drink.foodstuff'-DYN-CSV-[default CA]-FEA2-5-AMD3-6-PAU-OBS 'clown'-OBJ-G-IND | The clowns paused in eating breakfast
5.6.13 | Hlaçköé-yeřdö'e arţtudeuyá kšilu ažtwa'ra | [default CA]-CONCATENATED-PRC-'illness'-PCR-PARENT-PRX-stem2/prc-'recuperate'-PCR 'study'-DYN-PRX-RGR-OBS 'clown'-OBJ-[default CA]-IND 'poison'-G-PRN | After recovering from an illness, the clown got back to studying poisons
5.6.14 | Intxulëuwá waţlo wangwe | stem2/cpt-'swallow'-DYN-[default CA]-PCL-OBS [default CA]-PRC-'bird'-ERG [default CA]-PRC-'worm'-ABS | The bird swallowed the worm whole
5.6.15 | Allyilouwá | PRC-'singing'-OBJ-[default CA]-CNT-OBS | There's still the sound of singing going on / The sound of singing is still there
5.6.15 | Airţtulawá ulhiliolu wiosaḑca Iţkuil | PRC-NEG1-4-'study'-DYN-[default CA]-CNT-OBS-stem3/prc-'cousin'-OBJ [default CA]-GEN-1M-IND-stem2/n-CARRIER-CLG1-1-THM-'Ithkuil' | My cousin no longer studies the Ithkuil language
5.6.16 | Aḑxidaurhoiwá kšilu | PRC-'communicative.vocal.utterance'-OBJ-PRX-RLV2-2-ICS-OBS 'clown'-OBJ-[default CA]-IND | The clown keeps prattling on and on
5.6.17 | Ẓaliuyéu si kšilëi arţtudëužči'a? | 'see.something'-[default CA]-EXP-VER 2M-NEU-AFF 'clown'-OBJ-[default CA]-STM PRC-'study'-DYN-PRX-BMP2-5-LOC | Have you ever seen a clown at the school?
5.6.18 | Eňsmloduiwá itriloalö | stem2/prc-'fortune.telling'-DYN-CSV-PRX-IRP-OBS stem2/cpt-'approach'-OBJ-[default CA]-1M-NEU-IND-EFF | The fortune-telling was interrupted by my arrival
5.6.19 | Wimžiawêi ebštilu | [default CA]-stem2/cpt-'sexual.relations'-PMP-USP stem2-'priest'-OBJ-[default CA]-IND | The priest finally lost his virginity
5.6.20 | Yepššiewáu žowiř | PRX-stem2/prc-'feel.insulted'-CLM-DEC 2M/DET/ERG+AFF/1M/DET | You have insulted me for the last time!
5.6.21 | Ipţuläčřiowá rowaš | stem2/cpt-'seek'-DYN-[default CA]-AFM1-2-DLT-OBS 1M/BEN/ERG+THM/2M/NEU | It certainly has taken me a long time to find you
5.6.22 | Kšireriöwá arţtudëužči'a | 'clown'-OBJ-G-NEG1-3-TMP-OBS PRC-'study'-DYN-PRX-BMP2-5-LOC | The school is free of clowns for the time being
5.6.23 | Yujgleëwá bi | PRX-stem3/prc-'feeling.of.futility.in.the.face.of.realizing.the.transience.and.seeming.meaninglessness.of.life.and.the.universe'-XPD-OBS 3M-DET-AFF | He wastes his time pondering the futility and meaninglessness of existence
5.6.24 | Wütruöwá kru kširëuţcievčeö | [default CA]-stem3/cpt-'go.away'-LIM-OBS PA+1M/BEN/IND 'clown'-OBJ-G-EML2-5-AVS3-2-RSL | We left just in time to avoid being turned into clowns
5.6.25 | Wimžadřuowêi muyum | [default CA]-stem2/cpt-'sexual.relations'-SBS1-1-EPD-USP MA-IND+IND-MA | They had sex in a hurry
5.6.26 | Yamţruewá | PRX-PRC-'rain'-PTC-OBS | It's been raining for quite a while
5.6.27 | Yurcxuawá kširo wučra | PRX-stem2/prc-'plan'-PPR-OBS 'clown'-OBJ-G-ERG [default CA]-stem3/prc-'physical.attack'-THM | The clowns planned the attack in advance
5.6.28 | Arţtularaowá ulhiliolu wiosaḑca Iţkuil | PRC-'study'-DYN-[default CA]-NEG1-1-DCL-OBS-stem3/prc-'cousin'-OBJ [default CA]-GEN-1M-IND-stem2/prc-N-CARRIER-CLG1-1-THM-'Ithkuil' | It turns out my cousin hasn't studied the Ithkuil language at all
5.6.29 | Ätrulaöwá dře Hakšivé-Warswi'a | CPT-'translative.motion'-DYN-[default CA]-CCL-OBS 2P+1M/DET-ABS CONCATENATED-'clown'-OBJ-N-COR-PARENT-[default CA]-PRC-'planet'-LOC | We've ended up on the Clown Planet
5.6.30 | Ätruleowá dře Hakšivé-Warswi'a | CPT-'translative.motion'-DYN-[default CA]-CUL-OBS 2P+1M/DET-ABS CONCATENATED-'clown'-OBJ-N-COR-PARENT-[default CA]-PRC-'planet'-LOC | We eventually wound up on the Clown Planet
5.6.31 | Trulüňzeöwá řu | 'translative.motion'-DYN-[default CA]-RNC1-8-IMD-OBS 1M-DET-IND | Somewhere along the way I lost my way (literally)
5.6.31 | Weryüňzeöwá řu | [default CA]-stem2/prc-'determine.own.course.of.action'-RNC1-8-IMD-OBS 1M DET-IND | Somewhere along the way I lost my way (figuratively)
5.6.32 | Yurplürnoëwá ři | PRX-stem3/prc-'joie.de.vivre'-LTD1-8-TRD-OBS 1M-DET-AFF | My zest for life wanes as the years go by
5.6.33 | Kšijöewá ulhiliolu ušvi'lei | 'clown'-A-TRD-OBS stem3/prc-'cousin'-OBJ-[default CA]-GEN-1M-IND stem3/prc-'pastime'-OBJ-[default CA]-ESS | My cousin has taken up clown-hood as a pastime
5.6.34 | Ẓadecboewá weluöhu kšilëi | 'see'-PRX-RSN1-3-ITC-OBS [default CA]-stem2/prc-'child'-SLF-DET-IND 'clown'-OBJ-[default CA]-STM | The child couldn't help but stare back at the clown with curiosity
5.6.35 | Ätrulöawái tru Hakšivé-Warswi'o! | CPT-'translative.motion.away'-DYN-[default CA]-MTV-DIR 2P+1M/BEN-IND CONCATENATED-'clown'-OBJ-N-COR-PARENT-[default CA]-PRC-'planet'-ALL | Let's head off to the Clown Planet!
5.6.36 | Ämţtulöboawá amtfiluřt | CPT-'demonstrate.factuality.of.something'-DYN-[default CA]-DEV1-6-SQN-OBS-PRC 'list'-OBJ [default CA]-INL1-9-THM | I checked off each item on the list one by one
5.7 | Ätrulaöwá dře Hakšivé-Warswi'a | CPT-'translative.motion'-DYN-[default CA]-CCL-OBS 2P+1M/DET-ABS CONCATENATED-'clown'-OBJ-N-COR-PARENT-[default CA]-PRC-'planet'-LOC | We've ended up on the Clown Planet
5.7 | Ätruleowá dře Hakšivé-Warswi'a | CPT-'translative.motion'-DYN-[default CA]-CUL-OBS 2P+1M/DET-ABS CONCATENATED-'clown'-OBJ-N-COR-PARENT-[default CA]-PRC-'planet'-LOC | We eventually wound up on the Clown Planet
5.7.1 | A arţtulewá ulhiliolu wiosaḑca Iţkuil | RTR-PRC-'study'-DYN-[default CA]-DEL-HAB-OBS-stem3/prc-'cousin'-OBJ [default CA]-GEN-1M-IND-stem2/n-CARRIER-CLG1-1-THM-'Ithkuil' | My cousin used to study the Ithkuil language, but no longer
5.7.2 | Yiţxirňiexnalté wialmya | PRX-stem2/cpt-'evolve'-EPC1-4-PZE3-2-RTI1-1-PUP [default CA]-N-'flowering.plant'-THM | Flowering plants had not yet developed / were yet to develop during the Cambrian geological period (but they have developed since)
5.8 | Äňvyulahlâ | CPT-'apply.varnish'-DYN-[default CA]-MNO-SUB-REC | Varnish might've been applied / It might be varnished
5.8 | Äňvyuhlâ | CPT-'apply.varnish'-DYN-SUB-REC | Varnish might've been applied / It might be varnished
6.1.3 | Wäšwelciçxöehâ walhaci walhecue | [default CA]-CPT-'be.alive'-COS1-3-XCL1-4-SUR-REC [default CA]-'parent's.sibling'-GID1-1-AFF-[default CA]-'parent's.sibling'-GID1-3-CMP | My aunt lived longer than my uncle although neither of them lived to old age.
6.1.3 | Yiţxirňiexnalté wialmya | PRX-stem2/cpt-'evolve'-EPC1-4-PZE3-2-RTI1-1-PUP [default CA]-N-'flowering.plant'-THM | Flowering plants had not yet developed / were yet to develop during the Cambrian geological period (but they have developed since).
6.1.3 | Yamţrí chwadi'a | PRX-PRC-'rain'-[default CA]-RPR 'outdoors'-PRX-LOC | I'm told it's raining outside.
6.1.3 | Wimžiawêi ebštilu | [default CA]-stem2/cpt-'sexual.relations'-PMP-USP stem2-'priest'-OBJ-[default CA]-IND | The priest finally lost his virginity.
6.1.3 | Wekškô wakçmi'a | [default CA]-stem2/prc-'monster'-IMA [default CA]-PRC-'outdoor.balcony'-LOC | There's a monster on the balcony.
6.1.3 | Iuprulövḑuadnó walxu ëivḑilamki'a lei | stem3/cpt-NEG1-4-'descend'-DYN-ASC1-6-OGC3-9-CVN [default CA]-stem1/prc-'Sol'-IND CS-ROOT-ASC1-4-FGN2-1-LOC 1M-GEN | They say down south the sun won't set on my home town.
6.1.3 | Amskadwû kšivöla'i wiorkwa | 'necessity'-PRX-N-ITU 'clown'-N-CTR1-6-ACT-N 'filial.love'-THM | I think even clowns need love.
6.1.3 | Yuçkú elari | PRX-stem3/prc-'suffer.from.illness'-INF stem2/prc-'child'-G-AFF | The kids must be ill.
6.1.3 | Weru'i gulái onţläli'ö kši've! | 'child'-G-VOC 'ambulate'-DYN-DIR 'automobile'-CTE-ABL 'clown'-N-COR | Children, walk away from the clown car!
6.1.3 | Wimbruswiöháu! | [default CA] stem2/cpt-'compete.to.win'-ACCESSOR-IND-SLF-BEN-DEC | Here's the winner!/ We have a winner!
6.1.3 | Arveléi iträlu'ö kši'ţe? | 'amount.of.elapsed.time'-CSV-IRG CPT-'process.of.approaching'-CTE-IRL 'clown'-MDS-COR | How long has it been since the clowns' arrival?
6.1.3 | Yuçkéu elari? | PRX-stem3/prc-'suffer.from.illness'-VER stem2/prc-'child'-G-AFF | Are the kids ill?
6.1.3 | Wušštilkřóu! | [default CA]-stem3/prc-'SARS-CoV-2.virus'-ADI1-4-ADM | Beware of getting Covid-19!
6.1.3 | Wuišštilkřói elare! | [default CA] stem3/prc-NEG1-4-'SARS-CoV-2.virus'-ADI1-4-POT stem2/prc-'child'-G-ABS | I hope the children don't get Covid-19!
6.1.3 | Wušštilkříu wopňuivẓe! | [default CA] stem3/prc-NEG1-4-'SARS-CoV-2.virus'-ADI1-4-HOR PRX-stem0/prc-'feel.malevolence/cruelty/sadism'-PSA2-9-ABS | If only that bastard would get Covid-19!
6.1.3 | Ätrulúi žu Hakšivé-Warswi'o ä eutruloewû | CPT-'translative.motion'-DYN-[default CA]-CNJ 2M-DET-IND CONCATENATED 'clown'-OBJ-N-COR-PARENT-[default CA]-PRC-'planet'-ALL PRS stem2/cpt-NEG1-4-'approach'-DYN-[default CA]-ITC-ITU | If you go to the Clown Planet, there'll be no coming back.
6.2.2 | Étkwö'e wairţtuzwu welhwëubzanëi itrulalžói ka'i wurmieli'o wuttíhia kšiluržu | stem2/prc-FRAMED-'attend.scheduled.event'-PCR [default CA]-G-'study'-ACCESSOR-IND2-IND [default CA]-stem2/prc-'play.musical.instrument'-FEA2-5-TPF1-1-STM stem2/cpt-'approach'-OBG1-1-POT PA-BEN-ACT [default CA]-stem3/prc-'house'-1M-NEU-PRP-ALL [default CA]-stem3/prc-FRAMED-'introduce'-RCP-APL 'clown'-OBJ-[default CA]-HRC1-9-IND | After the students attend the concert, they must come to my house to meet the Chief Clown.
6.2.2 | Weňayá kšilo äpçólöwa lu eňtyarkena | 'compose.in.writing'-RTR 'clown'-STA-OBJ-ERG FRAMED-CPT-'read'-DYN-CSV-PCS-THM 1M-IND 'written.page'-MSC-COA-TPF1-3-THM | A clown wrote the book I just finished reading.
6.2.2 | Weňayá kšilo eňtyarkena äpçólö'yu lu thaxač | 'compose.in.writing'-RTR 'clown'-STA-OBJ-ERG 'written.page'-MSC COA-TPF1-3-THM FRAMED-CPT-'read'-DYN-CSV-PCS-RLT 1M-IND RDP-SWR1-1-THM | A clown wrote the book I just finished reading.
6.2.2 | Ẓalá li kšilenëi máli'hu welu | 'see'-1M-NEU-AFF 'clown'-STA-OBJ-TPF1-3-STM FRAMED-'talk'-RCP-FAC-RLT 'child'-IND | I see a clown (who is) talking with a child.
6.2.2 | Erčädókh elavöte žžjádu'u kšivëi | 'state.of.being.corrupted'-STA-CTE-PRX-SBT1-7 'child'-N-DCD1-6-ABS FRAMED-'feel.fascination'-STA-BSC-PRX-RLT 'clown'-STA-OBJ-N-STM | Children who like clowns have obviously been corrupted.
6.2.2 | Erčuláfs elaţwe ainšai'dä kšivöto hlarrnëi-yúřku'u | 'corrupt'-DYN-BSC-ATI1-1 'child'-MDS-N-ABS NEG1-4-FNC-'be.well-behaved'-PRX-DSP 'clown'-STA-OBJ-N-DCD1-6-ERG CONCATENATED-'ocelot'-STM-FRAMED-PARENT-'own'-PRX-RLT | Ocelot-owning clowns tend to corrupt children who are naughty.
6.2.2 | Yuřká warrnenëi kšila hlu'u Bubu | 'own'-PRX 'ocelot'-TPF1-3-STM 'clown'-STA-OBJ-THM CARRIER-RLT | The clown owns an ocelot named Boo-boo.
6.2.2 | Umňälöřdá ẓúlikti lo kšilëi welene | 'scream'-STA-CTE-SQC1-6 FRAMED 'see'-DYN-TPP1-4-AFF 1M-ERG 'clown'-STM 'child'-TPF1-3-ABS | The child whom I made look at a clown is now screaming.
6.2.2 | Umňälá lo welene máli'hu kšivu | 'scream'-STA-CTE 1M-ERG 'child'-TPF1-3-ABS FRAMED-'talk'-RCP-FAC-RLT 'clown'-N-IND | I made the child who talks with clowns scream.
6.2.2 | Umňälá lo welene máli'hu thu kšivu | 'scream'-STA-CTE 1M-ERG 'child'-TPF1-3-ABS FRAMED-'talk'-RCP-FAC-RLT RDP-IND 'clown'-N-IND | I made the child who talks with clowns scream.
7.2 | Alksodëubzuöřcá kšilu | 'eat/drink.foodstuff'-DYN-CSV-PRX-FEA2-5-AMD3-6-OBS 'clown'-OBJ-IND | The clown is eating breakfast
7.6.2 | Pţödá lu psoloswëi | 'seek'-OBJ-DYN-PRX-OBS 1M-NEU-IND 'cause.to.happen'-CSV-DYN-[default CA]-ACCESSOR-ERG1-STM | What I'm seeking is the party who has done this
7.6.2 | Pţödá lu psolozwëi | 'seek'-OBJ-DYN-PRX-OBS 1M-NEU-IND 'cause.to.happen'-CSV-DYN-[default CA]-ACCESSOR-ERG2-STM | What I'm seeking is the perpetrator
7.6.2 | Äţtulalzói la'i welošwa kšile | CPT-'know'-DYN-[default CA] DSD1-1-POT 1M-NEU-ACT [default CA]-stem2/prc-'child'-INVERSE.ACCESSOR-ERG1-THM 'clown'-OBJ-[default CA]-ABS | I want to know what the child did to the clown
7.6.2 | Malalzói la'i erdwilařstëuswü | 'talk'-[default CA]-DSD1-1-POT 1M-NEU-ACT stem2/cpt-'building'-OBJ-[default CA]-LCM1-1-ACCESSOR-PDC1-DAT | I want to talk to the designer of the building
7.6.2 | Malalzói la'i erdwilařstëuzwü | 'talk'-[default CA]-DSD1-1-POT 1M-NEU-ACT stem2/cpt-'building'-OBJ-[default CA]-LCM1-1-ACCESSOR-PDC2-DAT | I want to talk to the architect of the building
7.6.2 | Malalzói la'i erdwili'sya | 'talk'-[default CA]-DSD1-1-POT 1M-NEU-ACT stem2/cpt-'building'-OBJ-[default CA]-ACCESSOR-CPS1-PRN | I want to talk about what the building is made out of
7.6.2 | Malalzói la'i erdwili'zya | 'talk'-[default CA]-DSD1-1-POT 1M-NEU-ACT stem2/cpt-'building'-OBJ-[default CA]-ACCESSOR-CPS2-PRN | I want to talk about the building's construction materials
7.6.2 | Kšilá welëisya | 'clown'-OBJ-[default CA]-OBS [default CA]-stem2/prc-'child'-INVERSE.ACCESSOR-COM1-THM | The one whom the child is with is a clown
7.6.2 | Kšilá welëizya | 'clown'-OBJ-[default CA]-OBS [default CA]-stem2/prc-'child'-INVERSE.ACCESSOR-COM2-THM | The child's chaperone is a clown
7.6.3 | wupsovļäčwa | [default CA]-stem3/prc-'event'-PLE1-7-ACCESSOR-INS3 | that by which a pleasant event occurs
7.6.3 | wupsovļäjwa | [default CA]-stem3/prc-'event'-PLE1-7-INVERSE.ACCESSOR-INS3 | what a pleasant event is used for
7.6.3 | weproptočwa | [default CA]-stem2/prc-'upward.motion'-DNG1-7-ACCESSOR-ERG3 | the one who dangerously pushes (it) upward
7.6.3 | weproptojwa | [default CA]-stem2/prc-'upward.motion'-DNG1-7-INVERSE.ACCESSOR-ERG3 | that which one dangerously pushes upward
